# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,7,0,0.5,7,1,1.5,70.9278,0.0354639
Li,7,0,0.5,8,1,0.5,1.61134,0.0578482
Li,7,0,0.5,8,1,1.5,2.27879,0.0823469
Li,7,0,0.5,9,1,0.5,0.252343,0.004755
Li,7,0,0.5,9,1,1.5,0.356868,0.0064631
Li,7,0,0.5,10,1,0.5,0.0111263,0.0094179
Li,7,0,0.5,10,1,1.5,0.0157343,0.0131548
Li,3,2,1.5,7,1,0.5,0.269123,0.0003869
Li,4,2,1.5,7,1,0.5,0.897783,0.0013503
Li,5,2,1.5,7,1,0.5,2.79241,0.0048368
Li,6,2,1.5,7,1,0.5,12.2768,0.028911
Li,7,1,0.5,7,2,1.5,81.4565,0.0407283
Li,7,1,0.5,8,2,1.5,24.7964,0.061721
Li,7,1,0.5,9,2,1.5,10.2751,0.03357
Li,7,1,0.5,10,2,1.5,6.11504,0.0150008
Li,3,2,1.5,7,1,1.5,0.120356,0.0001786
Li,3,2,2.5,7,1,1.5,0.361075,0.0005367
Li,4,2,1.5,7,1,1.5,0.401501,0.0006207
Li,4,2,2.5,7,1,1.5,1.20453,0.0018699
Li,5,2,1.5,7,1,1.5,1.2488,0.0022147
Li,5,2,2.5,7,1,1.5,3.7465,0.0066646
Li,6,2,1.5,7,1,1.5,5.49037,0.0131994
Li,6,2,2.5,7,1,1.5,16.4719,0.040047
Li,7,1,1.5,7,2,1.5,36.4285,0.0182142
Li,7,1,1.5,7,2,2.5,109.285,0.0546427
Li,7,1,1.5,8,2,1.5,11.0893,0.02712
Li,7,1,1.5,8,2,2.5,33.2678,0.081915
Li,7,1,1.5,9,2,1.5,4.59516,0.014883
Li,7,1,1.5,9,2,2.5,13.7855,0.044797
Li,7,1,1.5,10,2,1.5,2.73473,0.0066469
Li,7,1,1.5,10,2,2.5,8.2042,0.0200118
Li,4,3,2.5,8,2,1.5,0.318635,0.0034779
Li,5,3,2.5,8,2,1.5,1.1034,0.0339459
Li,6,3,2.5,8,2,1.5,3.39649,0.0016982
Li,7,3,2.5,8,2,1.5,14.8896,0.0074448
Li,8,2,1.5,8,3,2.5,137.9,0.06895
Li,8,2,1.5,9,3,2.5,55.677,0.0278385
Li,8,2,1.5,10,3,2.5,21.4577,0.0107289
Li,4,3,2.5,8,2,2.5,0.085159,0.0009319
Li,4,3,3.5,8,2,2.5,0.380841,0.0041612
Li,5,3,2.5,8,2,2.5,0.294896,0.0090796
Li,5,3,3.5,8,2,2.5,1.31881,0.0405881
Li,6,3,2.5,8,2,2.5,0.907728,0.0004539
Li,6,3,3.5,8,2,2.5,4.05953,0.0020298
Li,7,3,2.5,8,2,2.5,3.97932,0.0019897
Li,7,3,3.5,8,2,2.5,17.7963,0.0088981
Li,8,2,2.5,8,3,2.5,36.8553,0.0184276
Li,8,2,2.5,8,3,3.5,164.822,0.082411
Li,8,2,2.5,9,3,2.5,14.8805,0.0074403
Li,8,2,2.5,9,3,3.5,66.5473,0.0332736
Li,8,2,2.5,10,3,2.5,5.73486,0.0028674
Li,8,2,2.5,10,3,3.5,25.647,0.0128235
Li,2,1,0.5,8,0,0.5,0.131897,6.59e-05
Li,2,1,1.5,8,0,0.5,0.186531,9.33e-05
Li,3,1,0.5,8,0,0.5,0.386952,0.0001935
Li,3,1,1.5,8,0,0.5,0.547232,0.0002736
Li,4,1,0.5,8,0,0.5,0.907992,0.000454
Li,4,1,1.5,8,0,0.5,1.28409,0.000642
Li,5,1,0.5,8,0,0.5,2.11368,0.0010568
Li,5,1,1.5,8,0,0.5,2.98919,0.0014946
Li,6,1,0.5,8,0,0.5,5.89485,0.0029474
Li,6,1,1.5,8,0,0.5,8.33658,0.0041683
Li,7,1,0.5,8,0,0.5,34.6247,0.0173124
Li,7,1,1.5,8,0,0.5,48.9667,0.0244834
Li,8,0,0.5,8,1,0.5,65.8868,0.042682
Li,8,0,0.5,8,1,1.5,93.1781,0.060974
Li,8,0,0.5,9,1,0.5,2.39059,0.0322383
Li,8,0,0.5,9,1,1.5,3.38082,0.0449081
